evals,trace
5.100000000000000000e+01,9.249811677657726605e-01
5.200000000000000000e+01,9.200770820144823503e-01
5.300000000000000000e+01,9.210786369997887579e-01
5.400000000000000000e+01,9.257549238355335941e-01
5.500000000000000000e+01,9.221728306475782677e-01
5.600000000000000000e+01,9.278845592417365173e-01
5.700000000000000000e+01,9.265308563095996375e-01
5.800000000000000000e+01,9.258276070845755656e-01
5.900000000000000000e+01,9.249032382944153419e-01
6.000000000000000000e+01,9.281551958964103788e-01
6.100000000000000000e+01,9.294750157728884910e-01
6.200000000000000000e+01,9.261737071375949482e-01
6.300000000000000000e+01,9.255798681667986028e-01
6.400000000000000000e+01,9.180383284493504048e-01
6.500000000000000000e+01,9.291706535603276862e-01
6.600000000000000000e+01,9.274681706463008268e-01
6.700000000000000000e+01,9.240467918113300927e-01
6.800000000000000000e+01,9.323751018800872092e-01
6.900000000000000000e+01,9.248300811623673123e-01
7.000000000000000000e+01,9.238133037782237933e-01
7.100000000000000000e+01,9.258162020497402445e-01
7.200000000000000000e+01,9.168045396041509809e-01
7.300000000000000000e+01,9.235205989428598716e-01
7.400000000000000000e+01,9.293629418658173602e-01
7.500000000000000000e+01,9.258809148707149994e-01
7.600000000000000000e+01,9.301328879696278973e-01
7.700000000000000000e+01,9.255482452749813627e-01
7.800000000000000000e+01,9.232005655773165564e-01
7.900000000000000000e+01,9.256960504581527305e-01
8.000000000000000000e+01,9.258967198062381110e-01
8.100000000000000000e+01,9.257445647901817454e-01
8.200000000000000000e+01,9.245608903371967946e-01
8.300000000000000000e+01,9.256231162141878022e-01
8.400000000000000000e+01,9.253063947104144260e-01
8.500000000000000000e+01,9.254376268047473930e-01
8.600000000000000000e+01,9.257507799362657552e-01
8.700000000000000000e+01,9.257012226727282522e-01
8.800000000000000000e+01,9.261162712131499886e-01
8.900000000000000000e+01,9.256793337249245024e-01
9.000000000000000000e+01,9.254092434336605999e-01
9.100000000000000000e+01,9.259594032435745081e-01
9.200000000000000000e+01,9.254362367559656466e-01
9.300000000000000000e+01,9.257834412918740652e-01
9.400000000000000000e+01,9.251163036295932951e-01
9.500000000000000000e+01,9.257538190281879853e-01
9.600000000000000000e+01,9.261157618632142041e-01
9.700000000000000000e+01,9.257364061749802087e-01
9.800000000000000000e+01,9.255183025722123480e-01
9.900000000000000000e+01,9.260674840381531991e-01
1.000000000000000000e+02,9.249306734214869374e-01
1.010000000000000000e+02,9.253290298579928130e-01
1.020000000000000000e+02,9.255801918134017869e-01
1.030000000000000000e+02,9.254183338969034223e-01
1.040000000000000000e+02,9.255654223171126960e-01
1.050000000000000000e+02,9.255525739449890210e-01
1.060000000000000000e+02,9.255431953926407385e-01
1.070000000000000000e+02,9.255676309633112941e-01
1.080000000000000000e+02,9.255382397686210405e-01
1.090000000000000000e+02,9.255251020504594583e-01
1.100000000000000000e+02,9.255119525593142882e-01
1.110000000000000000e+02,9.255566110071474784e-01
