evals,trace
1.520000000000000000e+02,9.963015278470409575e-01
1.540000000000000000e+02,9.980660044863000069e-01
1.560000000000000000e+02,9.999997499856632110e-01
1.580000000000000000e+02,9.993674684695772470e-01
1.600000000000000000e+02,9.939812478359222325e-01
1.620000000000000000e+02,9.943658920962293868e-01
1.640000000000000000e+02,9.996328697068288527e-01
1.660000000000000000e+02,9.955538016900655762e-01
1.680000000000000000e+02,9.739895016906541247e-01
1.700000000000000000e+02,9.920514688167867412e-01
1.720000000000000000e+02,9.999833874896273400e-01
1.740000000000000000e+02,9.883724103203632705e-01
1.760000000000000000e+02,9.998976485614917697e-01
1.780000000000000000e+02,9.923729740413488321e-01
1.800000000000000000e+02,9.964385339155968913e-01
1.820000000000000000e+02,9.955018416082166421e-01
1.840000000000000000e+02,9.970705626192197801e-01
1.860000000000000000e+02,9.995873567987217934e-01
1.880000000000000000e+02,9.999415667815454434e-01
1.900000000000000000e+02,9.994800146088368420e-01
1.920000000000000000e+02,9.993073335506847954e-01
1.940000000000000000e+02,9.915777404600287781e-01
1.960000000000000000e+02,9.993276689607425434e-01
1.980000000000000000e+02,9.993186456495548597e-01
2.000000000000000000e+02,9.997477709974645910e-01
2.020000000000000000e+02,9.996265425036444663e-01
2.040000000000000000e+02,9.990563772442000445e-01
2.060000000000000000e+02,9.927342536894782077e-01
2.080000000000000000e+02,9.998249003162683612e-01
2.100000000000000000e+02,9.995489034418721941e-01
2.120000000000000000e+02,9.995405434320203675e-01
2.140000000000000000e+02,9.996802167279359441e-01
2.160000000000000000e+02,9.998414848814488609e-01
2.180000000000000000e+02,9.994040978204975501e-01
2.200000000000000000e+02,9.883473280505694625e-01
2.220000000000000000e+02,9.757117170155744645e-01
2.240000000000000000e+02,9.762189711108388845e-01
2.260000000000000000e+02,9.546429143925755367e-01
2.280000000000000000e+02,9.545170269741739544e-01
2.300000000000000000e+02,9.707726658398144748e-01
2.320000000000000000e+02,9.644570680996814582e-01
2.340000000000000000e+02,9.568257728242395288e-01
2.360000000000000000e+02,9.606982121999347868e-01
2.380000000000000000e+02,9.687371150643460105e-01
2.400000000000000000e+02,9.730601711303982215e-01
2.420000000000000000e+02,9.810908835892629964e-01
2.440000000000000000e+02,9.913726677436238699e-01
2.460000000000000000e+02,9.566432054443753108e-01
2.480000000000000000e+02,9.465406976700014852e-01
2.500000000000000000e+02,9.961949307170989698e-01
2.520000000000000000e+02,9.930795735831456916e-01
2.540000000000000000e+02,9.844696262657076646e-01
2.560000000000000000e+02,9.913330688436533533e-01
2.580000000000000000e+02,9.973380057938328047e-01
2.600000000000000000e+02,9.970964227230368904e-01
2.620000000000000000e+02,9.758578969204584341e-01
2.640000000000000000e+02,9.699955024711942597e-01
2.660000000000000000e+02,9.887572862531406326e-01
2.680000000000000000e+02,9.924618231691871850e-01
2.700000000000000000e+02,9.997795132849488509e-01
2.720000000000000000e+02,9.999905987757307102e-01
